  Frequencies  Document                  Snippet
-------------  ------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            7  evem.gov.si.371.html      ... površin za cestni promet urejanje ... in drug cestni potniški promet ... : drug cestni potniški promet ... javni linijski cestni prevoz medkrajevni ... posebni linijski cestni prevoz, ... kart 49.410 Cestni tovorni promet ... udeležena v prometni nesreči Prezimovanje ...
            5  evem.gov.si.514.html      ... in drug cestni potniški promet ... in drug cestni potniški promet ... : drug cestni potniški promet ... javni linijski cestni prevoz, ... posebni linijski cestni prevoz, ...
            4  podatki.gov.si.202.html   ... in infrastruktura Cestni javni linijski ... naslovom `` Cestni javni linijski ... in infrastruktura Cestni javni linijski ... naslovom `` Cestni javni linijski ...
            2  podatki.gov.si.446.html   ... in infrastruktura Cestni javni linijski ... naslovom `` Cestni javni linijski ...
            2  podatki.gov.si.443.html   ... in infrastruktura Cestni javni linijski ... naslovom `` Cestni javni linijski ...
            2  evem.gov.si.205.html      ... 49.410 ) Cestni tovorni promet ... ( 49.410 Cestni tovorni promet ...
            2  evem.gov.si.18.html       ... Avtotaksi prevozi Cestni tovorni promet ... in drug cestni potniški promet ...
            1  e-prostor.gov.si.54.html  ... , pri cestni infrastrukturi se ...
            1  podatki.gov.si.311.html   ... so posebni znaki pravilno zapisani ...
            1  podatki.gov.si.340.html   ... ŠOLA MARIBOR PROMETNI INSTITUT LJUBLJANA ...
            1  e-uprava.gov.si.53.html   ... vozila... Cestni promet Kdo ...
            1  evem.gov.si.180.html      ... površin za cestni promet, ...
            1  evem.gov.si.14.html       ... z varnostnimi znaki. Ukrepi ...
