  Frequencies  Document                  Snippet
-------------  ------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           31  evem.gov.si.371.html      ... katerih nastajajo odpadki, ki ... katerih nastajajo odpadki, ki ... ODPLAKAMI IN ODPADKI; SANIRANJE ... ) z odpadki na debelo ... z nenevarnimi odpadki Sem spada ... z nevarnimi odpadki Sem spada ... s strupenimi odpadki in njihova ... drugimi kontaminiranimi odpadki sežiganje nevarnih ... z radioaktivnimi odpadki, npr. ... z nizkoradioaktivnimi odpadki iz bolnišnic ... drugimi posebnimi odpadki, ki ... s strupenimi odpadki in njihova ... drugimi kontaminiranimi odpadki sežiganje nevarnih ... z radioaktivnimi odpadki, npr. ... z nizkoradioaktivnimi odpadki iz bolnišnic ... drugimi posebnimi odpadki, ki ... z nenevarnimi odpadki, gl ... drugimi nevarnimi odpadki, gl ... ostanki in odpadki, tudi ... ravnanje z odpadki 39.000 Saniranje ... ravnanje z odpadki Sem spada ... z nenevarnimi odpadki, gl ... z nevarnimi odpadki, gl ... drugimi kovinskimi odpadki, gl ... ostanki in odpadki Sem spada ... ostanki, odpadki in materiali ... ravnanje z odpadki, ne ... ostanki in odpadki Prodaja odpadnega ... ostanki in odpadki Storitve odkupa ... Pravilnik o ekološki pridelavi in ... ravnanje z odpadki in odplakami ...
            9  podatki.gov.si.340.html   ... RAVNANJE Z ODPADKI ZASAVJE, ... ravnanje z odpadki, d.o.o. ... gospodarjenje z odpadki d.o.o. ... ravnanje z odpadki Puconci d.o.o ... ravnanje z odpadki d.o.o. ... gospodarjenje z odpadki, trgovina ... ravnanje z odpadki d.o.o. ... ravnanje z odpadki d.o.o. ... ravnanje z odpadki in druge ...
            6  evem.gov.si.331.html      ... ostanki in odpadki Trgovina na ... ostanki in odpadki Trgovina na ... ostanki in odpadki zajema: ... ostanki, odpadki in materiali ... trgovcev z odpadki. Trgovec ... samo nenevarne odpadki in jih ...
            4  podatki.gov.si.435.html   ... vira: Odpadki ( tone ... primer uporabe Odpadki ( tone ... naslovom `` Odpadki ( tone ... ) pcaxis Odpadki ( tone ...
            4  evem.gov.si.541.html      ... plovil Ladijski odpadki so vsi ... so vsi odpadki, vključno ... , in odpadki, povezani ... Z ladijskimi odpadki in ostanki ...
            3  e-prostor.gov.si.54.html  ... ravnanje z odpadki, kataster ... ravnanje z odpadki, kataster ... ravnanje z odpadki državnega in ...
            2  podatki.gov.si.173.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  podatki.gov.si.431.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  podatki.gov.si.430.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  podatki.gov.si.332.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  podatki.gov.si.146.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  podatki.gov.si.434.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  podatki.gov.si.183.html   ... trgovcev z odpadki, ki ... z nenevarnimi odpadki. Nenevarne ...
            2  podatki.gov.si.438.html   ... in prostor Odpadki ( tone ... naslovom `` Odpadki ( tone ...
            2  evem.gov.si.386.html      ... ravnanja z odpadki k upravljanju ... ravnanje z odpadki. SMM ...
            1  podatki.gov.si.189.html   ... odloženi komunalni odpadki, občine ...
            1  podatki.gov.si.511.html   ... gt; Ekološki tipi površinskih ...
            1  evem.gov.si.21.html       ... ostanki in odpadki Trgovina na ...
            1  evem.gov.si.651.html      ... ostanki in odpadki Trgovina na ...
            1  evem.gov.si.224.html      ... Pravilnik o ekološki pridelavi in ...
            1  evem.gov.si.653.html      ... trgovcev z odpadki Vpis v ...
